Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
TIRUPATI,KT Road,Township,A-Block,Terrace-1000,2,COMMERCIAL,1504,1431,2635023.34,9924.306
ITANAGAR,Capital Division,N2,Tech Park,Heights-1001,2,COMMERCIAL,1776,1660,536988.24,9444.001
GUWAHATI,Dispur,Central-Hub,B-Block,Heights-1002,2,COMMERCIAL,2109,1781,1396876.63,4414.373
MUZAFFARPUR,Rural,Rural-Zone,New Extension,Mews-1003,2,COMMERCIAL,1787,1655,1318851.45,6562.141
BILASPUR,Tifra,S1,B-Block,Mews-1004,2,COMMERCIAL,1017,895,1181838.75,1931.121
MARGAO,Division IV,Industrial-X,New Extension,Plaza-1005,2,COMMERCIAL,2053,1607,3667101.19,4824.171
SURAT,Adajan,N2,High Street,Complex-1006,2,COMMERCIAL,305,301,273562.99,1659.409
FARIDABAD,Old Faridabad,Township,B-Block,Villas-1007,2,COMMERCIAL,759,623,988071.67,4085.442
SHIMLA,Totu,S1,High Street,Mews-1008,2,COMMERCIAL,1670,1584,3210670.51,7175.128
JAMSHEDPUR,Adityapur,Zone-C,Railway Colony,Villas-1009,2,COMMERCIAL,949,716,781499.12,822.621
MYSURU,Rural,Zone-C,A-Block,Junction-1010,2,COMMERCIAL,1490,1207,1316141.32,5108.602
TRIVANDRUM,Vattiyoorkavu,Rural-Zone,Railway Colony,Villas-1011,2,COMMERCIAL,930,906,785350.15,4022.129
INDORE,Rajwada,Rural-Zone,B-Block,Square-1012,2,COMMERCIAL,638,623,827701.26,4497.291
MUMBAI,Bandra,Industrial-X,A-Block,Terrace-1013,2,COMMERCIAL,1446,1241,2800102.23,9794.892
IMPHAL,Division II,Township,A-Block,Heights-1014,2,COMMERCIAL,2307,1816,1639580.18,6949.873
SHILLONG,East Khasi,Industrial-X,Main Market,Villas-1015,2,COMMERCIAL,82,69,118437.78,195.024
AIZAWL,Division II,Township,B-Block,Mews-1016,2,COMMERCIAL,28,25,55004.64,94.458
DIMAPUR,Central,Industrial-X,Tech Park,Square-1017,2,COMMERCIAL,1922,1469,1905858.96,7577.633
BHUBANESWAR,Bhubaneswar Rural,Zone-C,High Street,Mews-1018,2,COMMERCIAL,1700,1669,2327286.81,10930.188
AMRITSAR,Hall Gate,W4,Tech Park,Square-1019,2,COMMERCIAL,1683,1324,721598.02,9089.682
JODHPUR,Sardarpura,N2,Main Market,Terrace-1020,2,COMMERCIAL,1021,801,514098.35,6268.712
GANGTOK,Division II,N2,Railway Colony,Plaza-1021,2,COMMERCIAL,759,599,1059264.12,3708.584
COIMBATORE,Gandhipuram,E3,Tech Park,Heights-1022,2,COMMERCIAL,2404,2097,4389929.09,16878.704
HYDERABAD,Banjara Hills,S1,A-Block,Square-1023,2,COMMERCIAL,2326,2140,808313.5,9335.727
AGARTALA,Division II,Metro-A,Tech Park,Junction-1024,2,COMMERCIAL,462,392,946853.22,2383.49
KANPUR,Kidwai Nagar,N2,New Extension,Terrace-1025,2,COMMERCIAL,869,743,1541335.87,2365.839
HALDWANI,Town,E3,Tech Park,Terrace-1026,2,COMMERCIAL,1154,1049,644206.18,5387.026
SILIGURI,Town,Central-Hub,Tech Park,Terrace-1027,2,COMMERCIAL,1701,1412,2945932.69,8603.58
CENTRAL DELHI,Connaught Place,N2,Main Market,Square-1028,2,COMMERCIAL,2275,2252,3350649.09,11247.789
SRINAGAR,Division II,N2,Main Market,Heights-1029,2,COMMERCIAL,2242,1711,1809583.5,10025.198
LEH,Town Division,N2,New Extension,Junction-1030,2,COMMERCIAL,330,328,288994.44,2242.983
CHANDIGARH,Sector 35,N2,B-Block,Heights-1031,2,COMMERCIAL,698,591,1516322.37,2464.85
PUDUCHERRY,Oulgaret,Industrial-X,Tech Park,Square-1032,2,COMMERCIAL,1865,1812,2503728.37,5378.877
PORT BLAIR,City Circle,Township,B-Block,Square-1033,2,COMMERCIAL,766,632,445890.08,2262.788
SILVASSA,Industrial Circle,S1,B-Block,Arcade-1034,2,COMMERCIAL,187,182,37304.97,421.914
DAMAN,Moti Daman,Township,B-Block,Arcade-1035,2,COMMERCIAL,263,239,217569.86,529.919
TIRUPATI,KT Road,S1,Railway Colony,Terrace-1036,2,COMMERCIAL,1479,1248,2237562.73,5838.373
PASIGHAT,East Siang,Zone-C,Tech Park,Complex-1037,2,COMMERCIAL,1560,1490,3247950.2,9642.47
DIBRUGARH,Tinsukia,Zone-C,Railway Colony,Mews-1038,2,COMMERCIAL,1390,1244,2369503.77,5842.946
PATNA,PESU East,N2,Tech Park,Plaza-1039,2,COMMERCIAL,692,561,198735.73,4446.556
RAIPUR,Rural Circle,Township,Main Market,Plaza-1040,2,COMMERCIAL,162,141,309030.8,860.851
PANAJI,Division I,Township,Tech Park,Square-1041,2,COMMERCIAL,1098,999,1533240.54,5624.876
SURAT,Varachha,W4,Main Market,Mews-1042,2,COMMERCIAL,1828,1734,3986495.05,9657.056
GURUGRAM,Suburban,Central-Hub,Tech Park,Plaza-1043,2,COMMERCIAL,117,109,160776.42,296.074
DHARAMSHALA,Palampur,W4,B-Block,Terrace-1044,2,COMMERCIAL,255,253,389051.87,479.928
RANCHI,Doranda,Zone-C,Tech Park,Villas-1045,2,COMMERCIAL,117,89,147506.58,718.341
BENGALURU,Malleswaram,Central-Hub,Railway Colony,Villas-1046,2,COMMERCIAL,113,92,23587.56,660.296
KOCHI,Marine Drive,W4,A-Block,Heights-1047,2,COMMERCIAL,95,91,174268.0,235.598
BHOPAL,Arera Colony,S1,Railway Colony,Arcade-1048,2,COMMERCIAL,533,461,328485.61,2080.216
MUMBAI,Colaba,Township,A-Block,Junction-1049,2,COMMERCIAL,1139,1005,2082042.52,4289.781
IMPHAL,Division I,S1,A-Block,Terrace-1050,2,COMMERCIAL,1274,1153,2728655.2,3282.989
SHILLONG,East Khasi,Metro-A,Railway Colony,Heights-1051,2,COMMERCIAL,155,144,25171.49,764.37
AIZAWL,Division II,N2,Main Market,Heights-1052,2,COMMERCIAL,1368,1177,234995.05,9932.928
KOHIMA,Rural,Township,New Extension,Square-1053,2,COMMERCIAL,568,546,1154854.12,3243.456
BHUBANESWAR,BCP,Township,A-Block,Plaza-1054,2,COMMERCIAL,663,607,1069451.17,2526.3
LUDHIANA,Model Town,Central-Hub,High Street,Villas-1055,2,COMMERCIAL,2181,2002,1894446.14,3431.113
JODHPUR,Basni,S1,Main Market,Mews-1056,2,COMMERCIAL,1586,1506,1571729.73,9331.753
GANGTOK,Division II,Industrial-X,A-Block,Plaza-1057,2,COMMERCIAL,310,296,437697.5,2119.32
CHENNAI,Adyar,N2,High Street,Terrace-1058,2,COMMERCIAL,1544,1213,635671.69,9366.423
WARANGAL,Rural,S1,Tech Park,Heights-1059,2,COMMERCIAL,945,797,1829929.81,3896.04
AGARTALA,Division II,Township,B-Block,Arcade-1060,2,COMMERCIAL,937,710,1968118.98,6512.831
NOIDA,Sector 62,Metro-A,Main Market,Arcade-1061,2,COMMERCIAL,1029,965,446661.09,5312.55
DEHRADUN,Central,W4,B-Block,Terrace-1062,2,COMMERCIAL,2412,2029,816548.74,12904.258
SILIGURI,Matigara,E3,Main Market,Heights-1063,2,COMMERCIAL,1987,1800,3945836.35,6148.754
SOUTH DELHI,Malviya Nagar,N2,High Street,Complex-1064,2,COMMERCIAL,556,555,235349.91,1718.556
JAMMU,Bari Brahmana,Central-Hub,A-Block,Complex-1065,2,COMMERCIAL,252,221,330095.77,1703.769
LEH,Town Division,N2,Main Market,Terrace-1066,2,COMMERCIAL,2341,2173,1915189.56,7586.129
CHANDIGARH,Sector 22,W4,A-Block,Complex-1067,2,COMMERCIAL,2154,1803,2140338.95,13829.129
PUDUCHERRY,Town Division,Township,Tech Park,Complex-1068,2,COMMERCIAL,1169,1122,200873.97,4794.778
PORT BLAIR,City Circle,Metro-A,New Extension,Villas-1069,2,COMMERCIAL,2493,2458,3343763.25,2481.869
SILVASSA,Amli,S1,Tech Park,Complex-1070,2,COMMERCIAL,6,5,4077.35,8.023
DAMAN,Nani Daman,Township,Tech Park,Arcade-1071,2,COMMERCIAL,1661,1257,1555969.45,4504.416
TIRUPATI,KT Road,E3,Main Market,Heights-1072,2,COMMERCIAL,1050,982,1668172.53,2535.545
ITANAGAR,Capital Division,Township,Main Market,Junction-1073,2,COMMERCIAL,2389,1959,3556002.28,3221.72
DIBRUGARH,Rural,N2,Main Market,Terrace-1074,2,COMMERCIAL,409,326,596414.19,1065.523
MUZAFFARPUR,Bela,Township,B-Block,Square-1075,2,COMMERCIAL,1629,1522,821603.36,10084.452
RAIPUR,Abhanpur,E3,Main Market,Heights-1076,2,COMMERCIAL,402,347,450748.75,1975.908
PANAJI,Division I,Rural-Zone,Tech Park,Villas-1077,2,COMMERCIAL,1006,909,627444.76,3678.112
VADODARA,Makarpura,W4,B-Block,Arcade-1078,2,COMMERCIAL,2397,2164,3974232.12,15807.872
FARIDABAD,Old Faridabad,Rural-Zone,B-Block,Heights-1079,2,COMMERCIAL,61,53,91264.14,308.654
DHARAMSHALA,Kangra,Rural-Zone,Main Market,Plaza-1080,2,COMMERCIAL,1550,1410,995846.09,7950.629
JAMSHEDPUR,Mango,Metro-A,Railway Colony,Complex-1081,2,COMMERCIAL,1020,949,1462786.65,6676.122
BENGALURU,HSR Layout,W4,High Street,Junction-1082,2,COMMERCIAL,671,649,275952.56,3230.157
TRIVANDRUM,Statue,W4,Tech Park,Arcade-1083,2,COMMERCIAL,1682,1387,3018924.36,1441.29
INDORE,Vijay Nagar,Rural-Zone,Tech Park,Square-1084,2,COMMERCIAL,1306,982,594124.55,1191.283
PUNE,Hinjewadi,Metro-A,B-Block,Arcade-1085,2,COMMERCIAL,1523,1236,3040952.16,10080.87
IMPHAL,Division II,S1,A-Block,Terrace-1086,2,COMMERCIAL,1327,1119,1793966.35,4927.338
SHILLONG,East Khasi,S1,Main Market,Square-1087,2,COMMERCIAL,311,262,530765.35,521.649
AIZAWL,Division I,Metro-A,B-Block,Heights-1088,2,COMMERCIAL,1275,1089,1137516.52,2431.276
DIMAPUR,Industrial,Industrial-X,Main Market,Terrace-1089,2,COMMERCIAL,988,893,756627.6,5074.234
CUTTACK,CRD,N2,High Street,Plaza-1090,2,COMMERCIAL,1924,1660,421729.99,2836.077
AMRITSAR,Ranjit Avenue,Industrial-X,Railway Colony,Villas-1091,2,COMMERCIAL,2068,1619,428852.16,11098.688
JODHPUR,Basni,Rural-Zone,B-Block,Arcade-1092,2,COMMERCIAL,2500,1895,4201747.66,9517.674
GANGTOK,Division II,Township,Railway Colony,Arcade-1093,2,COMMERCIAL,857,678,1668585.32,5768.246
CHENNAI,Anna Nagar,E3,A-Block,Plaza-1094,2,COMMERCIAL,1190,1162,2320597.45,4488.408
WARANGAL,Rural,Industrial-X,New Extension,Complex-1095,2,COMMERCIAL,1587,1245,1702666.84,11296.755
AGARTALA,Division II,Central-Hub,Railway Colony,Arcade-1096,2,COMMERCIAL,258,213,190492.82,252.312
NOIDA,Greater Noida,Zone-C,New Extension,Complex-1097,2,COMMERCIAL,488,371,151591.61,3076.361
DEHRADUN,Vikas Nagar,Rural-Zone,Railway Colony,Mews-1098,2,COMMERCIAL,147,115,320319.51,903.714
KOLKATA,Salt Lake,E3,A-Block,Mews-1099,2,COMMERCIAL,2220,2130,1985449.3,14116.599
SOUTH DELHI,Hauz Khas,Rural-Zone,Railway Colony,Complex-1100,2,COMMERCIAL,2179,2029,1419364.99,7960.087
JAMMU,Bari Brahmana,Zone-C,High Street,Arcade-1101,2,COMMERCIAL,1252,1199,399946.52,8744.898
KARGIL,Town Division,Rural-Zone,Main Market,Arcade-1102,2,COMMERCIAL,1203,1020,1207948.5,6365.29
CHANDIGARH,Sector 35,Central-Hub,Railway Colony,Villas-1103,2,COMMERCIAL,1097,908,418832.72,6758.045
PUDUCHERRY,Rural,Metro-A,New Extension,Arcade-1104,2,COMMERCIAL,471,396,222088.67,1786.263
PORT BLAIR,City Circle,Zone-C,A-Block,Arcade-1105,2,COMMERCIAL,2004,1875,3234265.33,4416.156
SILVASSA,Amli,N2,New Extension,Plaza-1106,2,COMMERCIAL,2457,1992,5253896.91,5487.041
DAMAN,Moti Daman,Industrial-X,New Extension,Junction-1107,2,COMMERCIAL,2281,1912,1872129.98,13444.287
TIRUPATI,KT Road,N2,B-Block,Villas-1108,2,COMMERCIAL,278,255,209292.45,1497.118
PASIGHAT,East Siang,E3,A-Block,Mews-1109,2,COMMERCIAL,2079,1718,2810054.17,9885.343
GUWAHATI,Paltan Bazar,Rural-Zone,High Street,Complex-1110,2,COMMERCIAL,2090,1584,3676420.63,3524.896
PATNA,PESU East,Rural-Zone,High Street,Plaza-1111,2,COMMERCIAL,512,466,786309.86,485.034
RAIPUR,City Circle,Central-Hub,A-Block,Heights-1112,2,COMMERCIAL,2306,1882,464158.16,17171.613
PANAJI,Division II,N2,New Extension,Mews-1113,2,COMMERCIAL,2360,1776,2733313.52,13117.854
AHMEDABAD,Sabarmati,S1,Main Market,Heights-1114,2,COMMERCIAL,1915,1775,1329815.01,8897.824
GURUGRAM,City,N2,Main Market,Junction-1115,2,COMMERCIAL,2115,1786,3572422.44,4252.642
SHIMLA,City,Metro-A,High Street,Heights-1116,2,COMMERCIAL,904,831,1607730.52,4872.801
JAMSHEDPUR,Adityapur,Metro-A,B-Block,Heights-1117,2,COMMERCIAL,2477,2250,2056536.63,3028.815
HUBBALLI,Central,S1,Railway Colony,Complex-1118,2,COMMERCIAL,2137,1669,2330520.74,9821.658
TRIVANDRUM,Pattom,Township,B-Block,Arcade-1119,2,COMMERCIAL,101,98,103368.33,737.668
INDORE,Rajwada,Zone-C,Main Market,Arcade-1120,2,COMMERCIAL,2386,2072,5055128.01,14475.564
PUNE,Kothrud,Rural-Zone,B-Block,Square-1121,2,COMMERCIAL,158,121,233722.63,540.331
IMPHAL,Division II,S1,Main Market,Complex-1122,2,COMMERCIAL,1068,900,999155.78,5390.499
SHILLONG,West Khasi,W4,A-Block,Villas-1123,2,COMMERCIAL,2158,1851,4574293.42,5277.456
AIZAWL,Bawngkawn,Rural-Zone,B-Block,Heights-1124,2,COMMERCIAL,2224,1887,2194279.64,6304.867
DIMAPUR,Industrial,Central-Hub,Tech Park,Junction-1125,2,COMMERCIAL,2214,2034,1221382.72,5692.418
BHUBANESWAR,BCP,Zone-C,A-Block,Plaza-1126,2,COMMERCIAL,1820,1615,2177151.48,10553.329
LUDHIANA,Aggar Nagar,W4,Tech Park,Heights-1127,2,COMMERCIAL,1216,1156,1596158.98,2617.976
JAIPUR,Vaishali,Industrial-X,A-Block,Plaza-1128,2,COMMERCIAL,1622,1441,2670337.18,3700.301
GANGTOK,Division II,Zone-C,Main Market,Mews-1129,2,COMMERCIAL,1821,1577,3934271.38,10569.875
COIMBATORE,Peelamedu,Metro-A,New Extension,Heights-1130,2,COMMERCIAL,403,362,69193.82,636.179
HYDERABAD,Secunderabad,Industrial-X,High Street,Square-1131,2,COMMERCIAL,5,4,10635.93,18.497
AGARTALA,Division I,E3,Main Market,Arcade-1132,2,COMMERCIAL,2189,2136,1666689.34,15156.553
LUCKNOW,Hazratganj,Rural-Zone,Railway Colony,Mews-1133,2,COMMERCIAL,2394,2017,3712200.55,17067.152
DEHRADUN,Vikas Nagar,Zone-C,Tech Park,Complex-1134,2,COMMERCIAL,2189,2183,2488057.1,7333.94
KOLKATA,Gariahat,E3,New Extension,Villas-1135,2,COMMERCIAL,1881,1615,1361546.32,8219.459
SOUTH DELHI,Saket,Rural-Zone,B-Block,Plaza-1136,2,COMMERCIAL,1240,1224,910982.53,6908.861
JAMMU,Gandhi Nagar,W4,Tech Park,Square-1137,2,COMMERCIAL,2378,1924,3464272.42,8700.959
KARGIL,Town Division,Rural-Zone,Main Market,Villas-1138,2,COMMERCIAL,1323,1054,222702.42,1526.136
CHANDIGARH,Sector 35,Industrial-X,A-Block,Plaza-1139,2,COMMERCIAL,1899,1886,1040814.47,11771.791
PUDUCHERRY,Town Division,N2,High Street,Terrace-1140,2,COMMERCIAL,267,222,555618.48,1024.659
PORT BLAIR,Haddo,Rural-Zone,A-Block,Complex-1141,2,COMMERCIAL,307,305,111565.31,2070.934
SILVASSA,Industrial Circle,W4,High Street,Square-1142,2,COMMERCIAL,641,498,1309207.59,2957.222
DAMAN,Moti Daman,Zone-C,Main Market,Arcade-1143,2,COMMERCIAL,2363,1801,1817478.22,3975.488
VIJAYAWADA,Gunadala,Township,New Extension,Villas-1144,2,COMMERCIAL,636,582,1346026.93,2011.226
ITANAGAR,Naharlagun,S1,Main Market,Plaza-1145,2,COMMERCIAL,1306,1255,789663.95,3283.028
DIBRUGARH,Rural,Rural-Zone,New Extension,Complex-1146,2,COMMERCIAL,1736,1542,1355382.54,10758.899
MUZAFFARPUR,Town Division,Industrial-X,New Extension,Arcade-1147,2,COMMERCIAL,1564,1428,3030367.85,5082.377
RAIPUR,City Circle,Central-Hub,Railway Colony,Plaza-1148,2,COMMERCIAL,1784,1398,339637.86,12718.73
PANAJI,Division II,E3,B-Block,Junction-1149,2,COMMERCIAL,2204,2133,3080239.18,14243.958
AHMEDABAD,Sabarmati,Metro-A,Railway Colony,Terrace-1150,2,COMMERCIAL,398,370,313834.77,2131.887
GURUGRAM,Suburban,Industrial-X,Railway Colony,Mews-1151,2,COMMERCIAL,865,797,1226606.11,5261.839
SHIMLA,Kasumpti,Rural-Zone,Railway Colony,Heights-1152,2,COMMERCIAL,1609,1581,1725383.23,10740.179
RANCHI,Central,Industrial-X,A-Block,Mews-1153,2,COMMERCIAL,2231,1900,1630624.24,15789.809
HUBBALLI,Central,Metro-A,Main Market,Mews-1154,2,COMMERCIAL,1058,932,1592645.79,3656.093
KOCHI,Ernakulam,Industrial-X,A-Block,Square-1155,2,COMMERCIAL,1693,1530,2788649.51,2901.804
BHOPAL,Bairagarh,S1,Main Market,Complex-1156,2,COMMERCIAL,331,294,435201.56,726.558
MUMBAI,Colaba,S1,Railway Colony,Heights-1157,2,COMMERCIAL,1231,1146,899312.18,4552.343
IMPHAL,Division II,Industrial-X,Railway Colony,Plaza-1158,2,COMMERCIAL,261,245,278628.87,1584.311
SHILLONG,West Khasi,Industrial-X,B-Block,Junction-1159,2,COMMERCIAL,277,229,375374.26,1874.581
AIZAWL,Division II,Rural-Zone,Main Market,Villas-1160,2,COMMERCIAL,1781,1359,3108767.62,3758.518
KOHIMA,Rural,Township,New Extension,Square-1161,2,COMMERCIAL,1351,1325,2700611.26,9832.177
BHUBANESWAR,Bhubaneswar Rural,Zone-C,Railway Colony,Square-1162,2,COMMERCIAL,2122,1817,3995022.52,11383.707
LUDHIANA,City,W4,Tech Park,Square-1163,2,COMMERCIAL,2246,1918,3661991.83,10646.24
JODHPUR,City,Central-Hub,Main Market,Arcade-1164,2,COMMERCIAL,1883,1861,2718424.78,11597.54
GANGTOK,Division II,Township,Railway Colony,Junction-1165,2,COMMERCIAL,2349,1899,4142478.12,16692.849
CHENNAI,T Nagar,E3,New Extension,Arcade-1166,2,COMMERCIAL,597,557,556343.86,1905.335
WARANGAL,Kazipet,Rural-Zone,Main Market,Terrace-1167,2,COMMERCIAL,1182,1005,1818420.52,5816.802
AGARTALA,Division I,Industrial-X,High Street,Villas-1168,2,COMMERCIAL,2093,1887,3391350.62,11834.025
LUCKNOW,Gomti Nagar,Zone-C,Tech Park,Terrace-1169,2,COMMERCIAL,1375,1205,671544.18,7140.546
DEHRADUN,North,S1,High Street,Square-1170,2,COMMERCIAL,1349,1152,2643622.67,4532.776
KOLKATA,Gariahat,Metro-A,B-Block,Junction-1171,2,COMMERCIAL,1330,1147,2399891.64,8736.26
CENTRAL DELHI,Connaught Place,Industrial-X,Railway Colony,Junction-1172,2,COMMERCIAL,2385,1896,797210.37,2270.156
SRINAGAR,Karan Nagar,Industrial-X,A-Block,Complex-1173,2,COMMERCIAL,1551,1205,1346770.49,3320.42
LEH,Town Division,Zone-C,Railway Colony,Heights-1174,2,COMMERCIAL,1479,1352,756956.31,8013.095
CHANDIGARH,Sector 22,Township,Tech Park,Villas-1175,2,COMMERCIAL,39,36,44661.99,271.031
