Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
VIJAYAWADA,Governorpet,Industrial,North Section,Plaza Street-265,2,COMMERCIAL,223,211,262300.91,1068.083
PASIGHAT,Mebo,Industrial,West Section,Business Park-979,2,COMMERCIAL,1059,951,1063430.6,5575.0
DIBRUGARH,Rural,Zone-B,Commercial Hub,New Extension-456,2,COMMERCIAL,1054,1044,1519662.63,4621.537
PATNA,PESU West,Town,West Section,Plaza Street-402,2,COMMERCIAL,384,382,166277.45,1362.245
RAIPUR,City Circle,E3,Main Bazaar,Old Town-601,2,COMMERCIAL,1183,1102,1396443.83,3928.292
PANAJI,Division I,W4,East Section,Business Park-906,2,COMMERCIAL,501,476,716535.85,866.597
VADODARA,Akota,Industrial,Station Road,Plaza Street-166,2,COMMERCIAL,204,196,84864.74,1053.582
GURUGRAM,City,Metro,North Section,Business Park-431,2,COMMERCIAL,342,297,417947.52,994.971
SHIMLA,Kasumpti,Industrial,Main Bazaar,Old Town-579,2,COMMERCIAL,948,885,285052.74,3637.686
JAMSHEDPUR,Adityapur,Rural,Station Road,Plaza Street-752,2,COMMERCIAL,295,253,365273.88,1078.842
HUBBALLI,Rural,Zone-B,North Section,Old Town-258,2,COMMERCIAL,1087,1058,319509.36,5871.928
TRIVANDRUM,Pattom,Town,Commercial Hub,Plaza Street-446,2,COMMERCIAL,107,105,27738.76,460.477
BHOPAL,City,E3,Commercial Hub,Market Area-760,2,COMMERCIAL,672,661,739329.02,3257.419
PUNE,Shivajinagar,N1,West Section,Business Park-414,2,COMMERCIAL,871,740,1269526.92,4761.165
IMPHAL,Division I,Central,South Section,High Street-241,2,COMMERCIAL,635,572,144844.75,2945.967
SHILLONG,West Khasi,Central,Commercial Hub,New Extension-667,2,COMMERCIAL,867,858,457518.27,1452.765
AIZAWL,Division II,N1,Station Road,Old Town-243,2,COMMERCIAL,1220,1166,1363084.47,5267.368
KOHIMA,Town Division,Zone-B,East Section,Old Town-325,2,COMMERCIAL,951,873,862856.8,5098.954
BHUBANESWAR,BCP,E3,Commercial Hub,Complex Road-208,2,COMMERCIAL,177,169,65979.89,339.654
LUDHIANA,City,E3,East Section,Market Area-882,2,COMMERCIAL,1263,1093,1773475.35,3961.827
JODHPUR,City,Rural,North Section,Market Area-984,2,COMMERCIAL,700,698,938159.43,3739.688
GANGTOK,Division II,Rural,South Section,Old Town-404,2,COMMERCIAL,144,124,147316.69,202.888
CHENNAI,Anna Nagar,Zone-B,West Section,Plaza Street-524,2,COMMERCIAL,1273,1115,646779.53,1664.598
WARANGAL,Station Road,Zone-B,Commercial Hub,Business Park-225,2,COMMERCIAL,1180,1107,756124.89,3268.964
AGARTALA,Division II,E3,East Section,Old Town-884,2,COMMERCIAL,583,510,285329.66,2268.714
NOIDA,Sector 18,N1,Main Bazaar,Plaza Street-215,2,COMMERCIAL,1302,1261,1663475.74,4455.471
DEHRADUN,Central,Rural,East Section,Market Area-184,2,COMMERCIAL,569,510,148834.46,2926.011
KOLKATA,Gariahat,Town,West Section,Old Town-149,2,COMMERCIAL,1414,1266,602410.06,7740.068
CENTRAL DELHI,Paharganj,Metro,North Section,Old Town-765,2,COMMERCIAL,832,729,1204871.05,1301.998
SRINAGAR,Division II,Central,East Section,High Street-202,2,COMMERCIAL,554,543,316681.65,1901.565
LEH,Town Division,Central,North Section,Plaza Street-235,2,COMMERCIAL,18,15,3854.46,64.075
CHANDIGARH,Sector 35,Zone-B,Main Bazaar,Market Area-504,2,COMMERCIAL,1364,1244,1959494.59,4885.573
PUDUCHERRY,Town Division,Town,West Section,Plaza Street-237,2,COMMERCIAL,222,193,244214.27,1081.309
PORT BLAIR,City Circle,Zone-B,North Section,Market Area-935,2,COMMERCIAL,1000,866,207999.96,3371.688
