DateTime,City,Consumption_kWh
2024-01-01 00:00:00,Nashik,2281
2024-01-01 01:00:00,Kalyan,1960
2024-01-01 02:00:00,Hyderabad,1747
2024-01-01 03:00:00,Agra,2270
2024-01-01 04:00:00,Ranchi,1503
2024-01-01 05:00:00,Chennai,1508
2024-01-01 06:00:00,Hubli,1836
2024-01-01 07:00:00,Kota,2185
2024-01-01 08:00:00,Kalyan,1578
2024-01-01 09:00:00,Bangalore,2599
2024-01-01 10:00:00,Rajkot,3039
2024-01-01 11:00:00,Vijayawada,2187
2024-01-01 12:00:00,Hyderabad,2311
2024-01-01 13:00:00,Kanpur,2448
2024-01-01 14:00:00,Visakhapatnam,2221
2024-01-01 15:00:00,Thane,3287
2024-01-01 16:00:00,Dhanbad,2495
2024-01-01 17:00:00,Guwahati,2749
2024-01-01 18:00:00,Gwalior,3923
2024-01-01 19:00:00,Navi Mumbai,2955
2024-01-01 20:00:00,Aurangabad,3822
2024-01-01 21:00:00,Jodhpur,3581
2024-01-01 22:00:00,Pune,3695
2024-01-01 23:00:00,Aurangabad,1862
2024-01-02 00:00:00,Chandigarh,1753
2024-01-02 01:00:00,Kalyan,1540
2024-01-02 02:00:00,Agra,1733
2024-01-02 03:00:00,Indore,2236
2024-01-02 04:00:00,Raipur,1421
2024-01-02 05:00:00,Srinagar,2115
2024-01-02 06:00:00,Jabalpur,1465
2024-01-02 07:00:00,Ranchi,2241
2024-01-02 08:00:00,Kanpur,2273
2024-01-02 09:00:00,Delhi,2998
2024-01-02 10:00:00,Rajkot,3238
2024-01-02 11:00:00,Rajkot,2735
2024-01-02 12:00:00,Indore,2868
2024-01-02 13:00:00,Faridabad,1871
2024-01-02 14:00:00,Solapur,2927
2024-01-02 15:00:00,Rajkot,2650
2024-01-02 16:00:00,Varanasi,3299
2024-01-02 17:00:00,Ahmedabad,2891
2024-01-02 18:00:00,Bangalore,3928
2024-01-02 19:00:00,Indore,3841
2024-01-02 20:00:00,Indore,4645
2024-01-02 21:00:00,Pune,3372
2024-01-02 22:00:00,Vadodara,3203
2024-01-02 23:00:00,Chennai,2528
2024-01-03 00:00:00,Vadodara,1799
2024-01-03 01:00:00,Nashik,1647
2024-01-03 02:00:00,Madurai,1732
2024-01-03 03:00:00,Kanpur,1920
2024-01-03 04:00:00,Ahmedabad,1485
2024-01-03 05:00:00,Hyderabad,1968
2024-01-03 06:00:00,Hubli,1591
2024-01-03 07:00:00,Thane,1648
2024-01-03 08:00:00,Thane,2302
2024-01-03 09:00:00,Kalyan,2916
2024-01-03 10:00:00,Ranchi,3135
2024-01-03 11:00:00,Navi Mumbai,2761
2024-01-03 12:00:00,Ranchi,3090
2024-01-03 13:00:00,Meerut,2642
2024-01-03 14:00:00,Indore,3025
2024-01-03 15:00:00,Agra,2844
2024-01-03 16:00:00,Allahabad,3006
2024-01-03 17:00:00,Jabalpur,2515
2024-01-03 18:00:00,Allahabad,3978
2024-01-03 19:00:00,Rajkot,3864
2024-01-03 20:00:00,Mumbai,3354
2024-01-03 21:00:00,Srinagar,3846
2024-01-03 22:00:00,Allahabad,2966
2024-01-03 23:00:00,Srinagar,1739
2024-01-04 00:00:00,Nashik,1671
2024-01-04 01:00:00,Vadodara,2031
2024-01-04 02:00:00,Bangalore,1314
2024-01-04 03:00:00,Vadodara,2090
2024-01-04 04:00:00,Kanpur,1483
2024-01-04 05:00:00,Delhi,2220
2024-01-04 06:00:00,Ludhiana,2396
2024-01-04 07:00:00,Bhopal,1564
2024-01-04 08:00:00,Faridabad,2287
2024-01-04 09:00:00,Bhopal,2097
2024-01-04 10:00:00,Jodhpur,2875
2024-01-04 11:00:00,Mumbai,2726
2024-01-04 12:00:00,Madurai,2222
2024-01-04 13:00:00,Nagpur,2613
2024-01-04 14:00:00,Varanasi,2761
2024-01-04 15:00:00,Indore,2282
2024-01-04 16:00:00,Vadodara,2155
2024-01-04 17:00:00,Lucknow,2397
2024-01-04 18:00:00,Hubli,4267
2024-01-04 19:00:00,Visakhapatnam,2994
2024-01-04 20:00:00,Varanasi,3451
2024-01-04 21:00:00,Rajkot,3526
2024-01-04 22:00:00,Madurai,3805
2024-01-04 23:00:00,Bhopal,1701
2024-01-05 00:00:00,Kolkata,2296
2024-01-05 01:00:00,Hubli,1721
2024-01-05 02:00:00,Hubli,1274
2024-01-05 03:00:00,Kota,2113
2024-01-05 04:00:00,Bhopal,2000
2024-01-05 05:00:00,Thane,2218
2024-01-05 06:00:00,Srinagar,1592
2024-01-05 07:00:00,Chennai,1340
2024-01-05 08:00:00,Hyderabad,2165
2024-01-05 09:00:00,Mumbai,2495
2024-01-05 10:00:00,Visakhapatnam,2555
2024-01-05 11:00:00,Rajkot,2600
2024-01-05 12:00:00,Thane,2766
2024-01-05 13:00:00,Bhopal,2232
2024-01-05 14:00:00,Amritsar,2534
2024-01-05 15:00:00,Coimbatore,2040
2024-01-05 16:00:00,Srinagar,2745
2024-01-05 17:00:00,Hyderabad,2674
2024-01-05 18:00:00,Chandigarh,3353
2024-01-05 19:00:00,Vadodara,4256
2024-01-05 20:00:00,Lucknow,3552
2024-01-05 21:00:00,Jaipur,4140
2024-01-05 22:00:00,Thane,3105
2024-01-05 23:00:00,Madurai,1389
2024-01-06 00:00:00,Bhopal,1775
2024-01-06 01:00:00,Amritsar,1427
2024-01-06 02:00:00,Howrah,1596
2024-01-06 03:00:00,Gwalior,1411
2024-01-06 04:00:00,Navi Mumbai,1608
2024-01-06 05:00:00,Rajkot,1894
2024-01-06 06:00:00,Kanpur,2362
2024-01-06 07:00:00,Bhopal,1764
2024-01-06 08:00:00,Gwalior,1946
2024-01-06 09:00:00,Vijayawada,2476
2024-01-06 10:00:00,Patna,3114
2024-01-06 11:00:00,Kota,2256
2024-01-06 12:00:00,Indore,2651
2024-01-06 13:00:00,Jabalpur,2854
2024-01-06 14:00:00,Rajkot,2861
2024-01-06 15:00:00,Aurangabad,2482
2024-01-06 16:00:00,Kalyan,2675
2024-01-06 17:00:00,Bangalore,2873
2024-01-06 18:00:00,Amritsar,4002
2024-01-06 19:00:00,Agra,3379
2024-01-06 20:00:00,Navi Mumbai,3931
