Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
VIJAYAWADA,Besant Road,Rural,Section-B,Janpath 96,2,COMMERCIAL,334,286,148267.88,809.854
REWA,Sagra,Metro,Hub,Business Park 45,2,COMMERCIAL,940,833,341990.77,1492.653
MADURAI,Madurai North,W5,Plaza,Old City 5,2,COMMERCIAL,791,688,1057925.03,3291.563
REWA,Rewa City,C3,Market,New Town 60,2,COMMERCIAL,1214,1155,1007694.96,5581.889
PATIALA,Leela Bhawan,S2,Section-B,Gokulam 39,2,COMMERCIAL,49,39,14563.49,151.379
BALLARI,Sandur,Town,Section-B,New Town 64,2,COMMERCIAL,763,671,897813.64,3080.436
SAGAR,Makronia,Central,Complex,High Street 19,2,COMMERCIAL,1209,1160,1058910.51,4930.562
JAMNAGAR,Jamnagar North,S2,Section-B,Janpath 47,2,COMMERCIAL,917,891,885597.8,1752.008
TRIVANDRUM,Thampanoor,Rural,Bazaar,Business Park 24,2,COMMERCIAL,1218,1070,2112177.66,3871.786
KANNUR,Kannur Town,Central,Plaza,Gokulam 7,2,COMMERCIAL,610,500,670846.53,951.611
SILIGURI,Matigara,W5,Main,High Street 9,2,COMMERCIAL,69,67,81614.23,110.589
ASANSOL,Raniganj,N1,Complex,New Town 89,2,COMMERCIAL,445,412,710076.04,554.085
PATHANKOT,Narot Jaimal Singh,Rural,Market,Janpath 94,2,COMMERCIAL,1349,1228,926041.51,1607.963
THRISSUR,Swaraj Round,Ind,Section-B,Temple View 99,2,COMMERCIAL,644,638,1109030.77,1066.675
GHAZIABAD,Indirapuram,C3,Hub,Janpath 11,2,COMMERCIAL,443,383,104168.04,1900.148
AHMEDABAD,Maninagar,S2,Bazaar,Old City 50,2,COMMERCIAL,1216,1148,2328020.75,2663.613
BHOPAL,Arera Colony,E4,Plaza,High Street 51,2,COMMERCIAL,369,368,241523.04,1354.875
MYSURU,Hunsur,Ind,Extension,Old City 39,2,COMMERCIAL,1255,1240,1093055.77,3949.063
ALWAR,Neemrana,Metro,Plaza,Station Road 47,2,COMMERCIAL,1307,1154,2233371.44,6176.931
ASANSOL,Jamuria,Metro,Section-A,Temple View 21,2,COMMERCIAL,1086,1032,1392260.58,1677.756
AGRA,Sanjay Place,S2,Complex,Business Park 67,2,COMMERCIAL,1014,954,1486132.17,2417.654
PATHANKOT,Narot Jaimal Singh,N1,Main,High Street 28,2,COMMERCIAL,929,817,1783819.3,2656.12
VARANASI,Lanka,W5,Market,Janpath 50,2,COMMERCIAL,239,237,159729.19,964.611
KOCHI,Kadavanthra,N1,Plaza,Old City 14,2,COMMERCIAL,659,642,712952.09,2952.418
KANPUR,Kidwai Nagar,S2,Main,Gokulam 98,2,COMMERCIAL,1436,1262,467331.61,1811.912
THRISSUR,Swaraj Round,N1,Bazaar,High Street 89,2,COMMERCIAL,421,383,488571.07,912.487
KANPUR,Civil Lines,S2,Complex,High Street 45,2,COMMERCIAL,1164,1048,130829.75,2906.723
PATIALA,Upper Mall,E4,Extension,New Town 24,2,COMMERCIAL,72,71,109237.19,157.208
JAIPUR,Malviya Nagar,S2,Section-B,Gokulam 44,2,COMMERCIAL,1143,944,1390010.15,1404.628
BATHINDA,Rampura Phul,W5,Market,Gokulam 93,2,COMMERCIAL,594,506,132850.65,1397.576
KALABURAGI,Yadgir,C3,Plaza,Gokulam 87,2,COMMERCIAL,208,202,324810.66,951.514
GWALIOR,Gwalior Fort Area,N1,Plaza,Temple View 95,2,COMMERCIAL,1208,974,1648799.04,5056.295
BENGALURU NORTH,Hebbal,E4,Complex,High Street 12,2,COMMERCIAL,335,320,634463.99,817.988
MUMBAI,Kurla,E4,Complex,Business Park 63,2,COMMERCIAL,435,416,728165.56,872.97
GUNTUR,Brodipet,W5,Market,High Street 14,2,COMMERCIAL,151,144,139174.2,417.675
TIRUNELVELI,Ambasamudram,Town,Complex,Gokulam 8,2,COMMERCIAL,1436,1389,1670743.37,2815.191
RAJKOT,Bhakti Nagar,Central,Hub,Old City 62,2,COMMERCIAL,935,921,916025.87,1675.443
AURANGABAD,Waluj,E4,Market,Temple View 41,2,COMMERCIAL,1169,1042,1121530.1,5403.29
KOLKATA SOUTH,Gariahat,C3,Bazaar,New Town 66,2,COMMERCIAL,771,661,978961.02,2534.217
SAGAR,Khurai,Metro,Extension,Temple View 87,2,COMMERCIAL,600,538,932160.62,2219.528
ASANSOL,Burnpur,Town,Plaza,Gokulam 46,2,COMMERCIAL,1424,1385,560536.41,2402.667
BARAMATI,Phaltan,Central,Market,New Town 7,2,COMMERCIAL,1136,921,1184010.87,4815.594
KURNOOL,Nandyal,E4,Hub,Gokulam 16,2,COMMERCIAL,1223,1203,1540355.49,2293.375
KOLKATA NORTH,Barasat,Central,Bazaar,New Town 1,2,COMMERCIAL,767,650,464016.36,3071.155
TRIVANDRUM,Statue,S2,Extension,Gokulam 42,2,COMMERCIAL,1224,1182,498279.05,3489.337
JAIPUR,Mansarovar,E4,Section-A,New Town 47,2,COMMERCIAL,300,262,355914.46,1071.608
REWA,Rewa City,Town,Extension,Gokulam 2,2,COMMERCIAL,851,720,988137.6,1236.934
HUBBALLI,Dharwad Town,E4,Complex,Janpath 95,2,COMMERCIAL,1345,1219,2599680.22,3177.399
AURANGABAD,Waluj,W5,Main,Business Park 89,2,COMMERCIAL,851,776,336951.33,3327.421
KOCHI,Marine Drive,Ind,Extension,Gokulam 79,2,COMMERCIAL,514,422,439938.31,1785.086
JAIPUR,Vaishali Nagar,Town,Section-B,Business Park 65,2,COMMERCIAL,1318,1271,1646532.96,4849.422
PATHANKOT,Dhangu Road,E4,Complex,Janpath 28,2,COMMERCIAL,747,633,963502.09,3036.448
ASANSOL,Asansol Town,N1,Section-B,Temple View 21,2,COMMERCIAL,699,635,1193689.53,1232.036
JABALPUR,Madhotal,W5,Main,Station Road 39,2,COMMERCIAL,1354,1161,1360029.52,2575.073
KOTA,Kota Industrial,S2,Main,High Street 25,2,COMMERCIAL,933,789,152117.0,2083.886
JALANDHAR,Jalandhar City,N1,Extension,Temple View 72,2,COMMERCIAL,143,142,154017.06,486.056
INDORE,Indore Rural,N1,Section-B,New Town 87,2,COMMERCIAL,1339,1192,2366011.49,4933.783
SALEM,Attur,Ind,Section-A,Business Park 96,2,COMMERCIAL,1208,1115,2175706.9,1364.979
AURANGABAD,Paithan Gate,W5,Section-B,Business Park 77,2,COMMERCIAL,766,661,669985.57,2264.413
THRISSUR,Swaraj Round,Central,Hub,Station Road 18,2,COMMERCIAL,908,880,630420.47,1424.576
NAGPUR,Civil Lines,W5,Section-B,Station Road 25,2,COMMERCIAL,1103,1086,1501251.47,2159.249
NOIDA,Dadri,Ind,Hub,Old City 21,2,COMMERCIAL,534,494,55967.19,1114.023
BHOPAL,Bittan Market,N1,Extension,Station Road 16,2,COMMERCIAL,99,87,48927.13,356.425
HALDIA,Tamluk,C3,Section-B,Temple View 27,2,COMMERCIAL,1154,1011,585386.43,5438.616
INDORE,MG Road,Ind,Market,Station Road 42,2,COMMERCIAL,1052,928,982567.17,5238.981
KOZHIKODE,SM Street,N1,Main,Station Road 19,2,COMMERCIAL,620,574,565908.18,1190.797
KOLKATA NORTH,Cossipore,Rural,Complex,Old City 62,2,COMMERCIAL,1366,1127,2012870.01,5730.065
BHOPAL,Bhopal City,S2,Bazaar,Temple View 30,2,COMMERCIAL,554,461,89356.66,2749.348
VISAKHAPATNAM,Gajuwaka,Rural,Plaza,Station Road 44,2,COMMERCIAL,1088,955,144091.69,1417.952
PATHANKOT,Su過npur,S2,Complex,Station Road 62,2,COMMERCIAL,1484,1233,2414632.95,3556.323
HUBBALLI,Hubballi Central,E4,Section-B,Station Road 99,2,COMMERCIAL,27,26,9629.35,53.656
CHENNAI NORTH,Anna Nagar,Ind,Extension,Temple View 36,2,COMMERCIAL,53,52,97943.95,195.7
HUBBALLI,Hubballi Rural,Town,Complex,Business Park 30,2,COMMERCIAL,466,459,506695.53,944.054
RAJKOT,University Road,Central,Complex,Old City 94,2,COMMERCIAL,1162,1132,1061293.64,2837.845
BIKANER,Napasar,S2,Market,Station Road 91,2,COMMERCIAL,84,76,113178.59,406.906
JABALPUR,Wright Town,Rural,Main,Gokulam 100,2,COMMERCIAL,377,334,541445.96,552.185
KOTA,Naya Pura,Metro,Complex,Old City 94,2,COMMERCIAL,722,688,1013832.64,2131.702
CHENNAI SOUTH,Guindy,Metro,Section-A,Janpath 75,2,COMMERCIAL,352,297,580944.9,534.507
HOWRAH,Shibpur,W5,Market,Temple View 47,2,COMMERCIAL,50,42,71620.69,164.965
DURGAPUR,Benachity,Ind,Section-B,New Town 18,2,COMMERCIAL,308,288,178135.57,1532.475
KOZHIKODE,Mavoor Road,Ind,Market,Temple View 73,2,COMMERCIAL,94,85,99693.0,449.373
CHENNAI SOUTH,Mylapore,W5,Bazaar,Gokulam 46,2,COMMERCIAL,1440,1212,303372.76,6015.871
BARAMATI,Phaltan,S2,Section-A,New Town 20,2,COMMERCIAL,385,311,713562.97,1751.155
TRICHY,Manapparai,Central,Complex,Old City 38,2,COMMERCIAL,1351,1315,2032865.65,5848.719
KANPUR,Kidwai Nagar,E4,Section-B,Old City 15,2,COMMERCIAL,1439,1352,1254378.64,4206.896
KURNOOL,Kurnool City,Rural,Extension,Station Road 25,2,COMMERCIAL,228,227,48061.67,870.757
BHOPAL,Bittan Market,Rural,Hub,High Street 6,2,COMMERCIAL,690,555,678427.07,2545.322
CHENNAI NORTH,Perambur,Rural,Main,Janpath 35,2,COMMERCIAL,85,72,25537.89,263.165
MADURAI,Usilampatti,S2,Extension,Station Road 99,2,COMMERCIAL,357,345,540764.72,773.411
BHAVNAGAR,Mahuva,E4,Section-A,New Town 95,2,COMMERCIAL,528,512,940659.69,568.136
VARANASI,Cantonment,S2,Extension,New Town 9,2,COMMERCIAL,268,244,469398.74,1160.767
PALAKKAD,Chittur,E4,Market,New Town 91,2,COMMERCIAL,1438,1374,2339789.37,6230.656
MOHALI,Phase 7,W5,Section-B,High Street 49,2,COMMERCIAL,294,290,455759.87,1307.615
MADURAI,Madurai South,Metro,Plaza,High Street 14,2,COMMERCIAL,1152,1120,265485.46,3495.947
KURNOOL,Dhone,W5,Complex,High Street 65,2,COMMERCIAL,217,177,35724.78,275.257
KOZHIKODE,Mavoor Road,Central,Bazaar,High Street 70,2,COMMERCIAL,109,100,110865.75,276.293
AMRITSAR,Golden Temple Area,W5,Main,Old City 39,2,COMMERCIAL,1206,1127,1654693.11,1864.231
AMRITSAR,Hall Gate,Ind,Market,Station Road 15,2,COMMERCIAL,1255,1036,2205624.59,3922.064
JAIPUR,Mansarovar,Ind,Hub,Old City 100,2,COMMERCIAL,882,750,1699342.11,3221.116
MEERUT,Meerut Cantt,Town,Complex,Temple View 1,2,COMMERCIAL,1304,1076,2123531.32,2016.78
UJJAIN,Ujjain North,C3,Plaza,Temple View 56,2,COMMERCIAL,235,204,313828.01,292.557
LUCKNOW,Aliganj,S2,Extension,Temple View 99,2,COMMERCIAL,1308,1197,935417.17,4250.017
AHMEDABAD,Sabarmati,Town,Section-A,Janpath 85,2,COMMERCIAL,856,814,1513594.13,3982.501
KOCHI,Edappally,C3,Market,Gokulam 67,2,COMMERCIAL,643,597,535106.77,2055.803
BENGALURU NORTH,Peenya,W5,Section-B,Business Park 60,2,COMMERCIAL,723,609,936035.15,3381.458
AJMER,Clock Tower,Town,Main,Janpath 88,2,COMMERCIAL,1447,1223,2235957.2,4342.498
CHENNAI NORTH,T Nagar,Rural,Market,Station Road 45,2,COMMERCIAL,763,633,791605.35,1889.224
JODHPUR,Jodhpur City,Ind,Hub,Temple View 10,2,COMMERCIAL,524,456,666441.45,713.034
AHMEDABAD,Navrangpura,Rural,Hub,Business Park 72,2,COMMERCIAL,1187,1173,334344.09,1528.273
KOLKATA SOUTH,Ballygunge,Central,Market,Temple View 45,2,COMMERCIAL,282,275,35785.98,296.537
BHAVNAGAR,Bhavnagar City,Ind,Market,Janpath 32,2,COMMERCIAL,380,334,568725.92,895.963
BALLARI,Hospet,Ind,Complex,Gokulam 52,2,COMMERCIAL,1409,1302,2253119.25,6386.897
VADODARA,Sayajiganj,Town,Section-B,New Town 59,2,COMMERCIAL,1326,1236,2548122.69,4418.843
BENGALURU SOUTH,HSR Layout,E4,Section-A,Station Road 25,2,COMMERCIAL,769,694,670115.15,2067.111
TIRUNELVELI,Ambasamudram,Central,Section-B,Station Road 21,2,COMMERCIAL,1394,1277,2407916.64,2240.47
MADURAI,Madurai South,W5,Section-A,Old City 73,2,COMMERCIAL,1164,1056,2002603.75,5782.859
GWALIOR,Morar,N1,Section-A,Old City 87,2,COMMERCIAL,272,247,41593.71,671.043
