City,Year,Domestic_Consumption,Industrial_Consumption,Commercial_Consumption,Total_Consumption
Jaipur,2019,566,3004,1983,5553
Chennai,2017,2380,1095,1151,4626
Guwahati,2019,1605,3367,729,5701
Hyderabad,2019,2462,4574,1047,8083
Ludhiana,2017,1439,3814,1254,6507
Mumbai,2019,1122,4391,424,5937
Chennai,2018,1548,4972,760,7280
Howrah,2017,1488,3248,475,5211
Meerut,2017,2145,4765,1257,8167
Raipur,2019,1581,3543,1704,6828
Hubli,2019,2671,821,458,3950
Patna,2018,1344,3916,546,5806
Kanpur,2017,852,4368,642,5862
Patna,2018,1428,1527,1913,4868
Thane,2017,2771,4860,1628,9259
Bhopal,2017,2659,3270,354,6283
Vadodara,2019,1711,4732,442,6885
Ludhiana,2017,1112,1499,1179,3790
Vasai,2018,2243,1210,1825,5278
Hubli,2019,1001,3649,1202,5852
Solapur,2018,2933,2299,1388,6620
Jaipur,2019,2427,1842,894,5163
Solapur,2017,862,2553,528,3943
Delhi,2019,1805,1272,1550,4627
Indore,2019,1271,4389,1640,7300
Ghaziabad,2017,792,4795,1849,7436
Kanpur,2017,1156,840,348,2344
Srinagar,2018,1014,2986,1463,5463
Varanasi,2019,1912,4812,357,7081
Visakhapatnam,2019,655,1312,330,2297
Lucknow,2017,2663,3299,1115,7077
Ranchi,2018,517,2458,1130,4105
Navi Mumbai,2019,917,3641,1803,6361
Kanpur,2018,1534,4495,853,6882
Indore,2018,2398,4568,1945,8911
Jodhpur,2018,1007,2188,1513,4708
Jodhpur,2019,1818,2083,1598,5499
Varanasi,2017,2597,2040,656,5293
Kanpur,2017,1168,1275,642,3085
Ranchi,2017,2504,4172,1861,8537
Jaipur,2019,1545,1646,652,3843
Aurangabad,2017,2038,4140,763,6941
Hubli,2019,2538,3206,1961,7705
Vadodara,2018,2875,2149,1052,6076
Vijayawada,2017,2384,2763,1518,6665
Agra,2019,1372,3024,548,4944
Lucknow,2018,2587,1618,1671,5876
Solapur,2018,2398,2384,446,5228
Thane,2019,2997,2589,1539,7125
Ahmedabad,2017,2995,2446,1763,7204
Raipur,2018,1076,1486,650,3212
Srinagar,2018,2516,2643,1695,6854
Rajkot,2017,1040,2623,1336,4999
Lucknow,2018,1398,1899,494,3791
Solapur,2018,2770,1393,1481,5644
Vijayawada,2018,1487,1683,1758,4928
Nagpur,2017,2258,2514,1063,5835
Vasai,2019,1967,3963,658,6588
Chennai,2018,1151,2811,322,4284
Chandigarh,2018,2432,4164,1869,8465
Madurai,2018,2100,4706,1568,8374
Visakhapatnam,2017,2927,3589,731,7247
Ghaziabad,2017,1358,1918,609,3885
Ahmedabad,2018,1128,4444,395,5967
Ahmedabad,2019,1217,1817,375,3409
Thane,2018,2155,1439,746,4340
Hubli,2018,874,4827,679,6380
Mumbai,2017,2195,4210,1125,7530
Bangalore,2018,1761,1918,1995,5674
Allahabad,2019,1834,4183,746,6763
Vijayawada,2018,1357,2028,969,4354
Agra,2017,1075,3255,553,4883
Thane,2018,2105,1340,1354,4799
Indore,2017,2504,1938,1469,5911
Varanasi,2019,600,2539,1253,4392
Varanasi,2017,570,1346,1046,2962
Allahabad,2017,1054,1533,339,2926
Rajkot,2019,2143,3516,575,6234
Chennai,2019,936,4686,325,5947
Indore,2018,2539,2621,686,5846
Nagpur,2018,1090,2499,1666,5255
Srinagar,2018,2884,1230,650,4764
Bangalore,2017,1503,943,1096,3542
