hour,day_of_week,month,demand_mw,region
0,0,1,126978.26,National
0,0,2,135625.04,National
0,0,3,146526.64,National
0,0,4,160025.49,National
0,0,5,162736.92,National
0,0,6,165738.71,National
0,0,7,163398.49,National
0,0,8,161943.34,National
0,0,9,159513.6,National
0,0,10,143664.71,National
0,0,11,122833.0,National
0,0,12,121451.7,National
0,1,1,130994.17,National
0,1,2,141084.26,National
0,1,3,150929.67,National
0,1,4,163843.85,National
0,1,5,165915.78,National
0,1,6,170480.2,National
0,1,7,167298.31,National
0,1,8,169364.75,National
0,1,9,164786.3,National
0,1,10,144913.95,National
0,1,11,128342.65,National
0,1,12,126358.3,National
0,2,1,131447.6,National
0,2,2,141644.26,National
0,2,3,154406.46,National
0,2,4,159653.25,National
0,2,5,165872.75,National
0,2,6,174145.05,National
0,2,7,166415.84,National
0,2,8,170653.15,National
0,2,9,164232.26,National
0,2,10,144897.3,National
0,2,11,131317.9,National
0,2,12,126944.83,National
0,3,1,130404.21,National
0,3,2,142442.69,National
0,3,3,154676.19,National
0,3,4,160134.37,National
0,3,5,163246.06,National
0,3,6,174060.94,National
0,3,7,167002.61,National
0,3,8,169644.28,National
0,3,9,165157.85,National
0,3,10,145824.2,National
0,3,11,130393.95,National
0,3,12,128191.86,National
0,4,1,130748.3,National
0,4,2,141377.18,National
0,4,3,153759.5,National
0,4,4,162382.21,National
0,4,5,162143.64,National
0,4,6,172765.96,National
0,4,7,167251.16,National
0,4,8,166547.39,National
0,4,9,166502.49,National
0,4,10,147749.25,National
0,4,11,128602.52,National
0,4,12,128588.8,National
0,5,1,130984.74,National
0,5,2,141021.75,National
0,5,3,152872.18,National
0,5,4,163185.4,National
0,5,5,163964.3,National
0,5,6,173392.29,National
0,5,7,168023.81,National
0,5,8,167389.13,National
0,5,9,166484.98,National
0,5,10,147824.49,National
0,5,11,128762.12,National
0,5,12,128746.92,National
0,6,1,131026.26,National
0,6,2,141493.4,National
0,6,3,152554.09,National
0,6,4,162347.44,National
0,6,5,165923.24,National
0,6,6,172212.88,National
0,6,7,167587.36,National
0,6,8,166384.49,National
0,6,9,163492.13,National
0,6,10,148503.07,National
0,6,11,128100.4,National
0,6,12,127624.06,National
1,0,1,123800.63,National
1,0,2,132932.32,National
1,0,3,143779.58,National
1,0,4,156830.21,National
1,0,5,158910.2,National
1,0,6,161812.37,National
1,0,7,159541.02,National
1,0,8,158439.3,National
1,0,9,155663.98,National
1,0,10,140651.39,National
1,0,11,120368.52,National
1,0,12,118843.69,National
1,1,1,127530.97,National
1,1,2,138148.57,National
1,1,3,148063.15,National
1,1,4,160419.83,National
1,1,5,162175.9,National
1,1,6,166334.31,National
1,1,7,163576.42,National
1,1,8,165714.05,National
1,1,9,160877.35,National
1,1,10,141592.04,National
1,1,11,125795.12,National
1,1,12,123430.59,National
1,2,1,127997.54,National
1,2,2,138596.44,National
1,2,3,151509.11,National
1,2,4,156237.53,National
1,2,5,162184.45,National
1,2,6,170478.31,National
1,2,7,162657.31,National
1,2,8,167074.27,National
1,2,9,160421.9,National
1,2,10,141763.11,National
1,2,11,128590.65,National
1,2,12,124099.79,National
1,3,1,126879.64,National
1,3,2,139328.38,National
1,3,3,151924.32,National
1,3,4,156856.42,National
1,3,5,159187.76,National
1,3,6,170145.8,National
1,3,7,163016.75,National
1,3,8,166085.35,National
1,3,9,161421.85,National
1,3,10,142671.1,National
1,3,11,127543.87,National
1,3,12,125147.71,National
1,4,1,127304.76,National
1,4,2,138251.4,National
1,4,3,150728.57,National
1,4,4,158911.36,National
1,4,5,158495.84,National
1,4,6,168687.56,National
1,4,7,163294.91,National
1,4,8,163087.48,National
1,4,9,163003.03,National
1,4,10,144523.95,National
1,4,11,125873.88,National
1,4,12,125495.68,National
1,5,1,127607.94,National
1,5,2,137967.9,National
1,5,3,149930.09,National
1,5,4,159794.75,National
1,5,5,160147.71,National
1,5,6,169461.7,National
1,5,7,163844.11,National
1,5,8,163947.7,National
1,5,9,162635.42,National
1,5,10,144611.38,National
1,5,11,126065.18,National
1,5,12,125604.09,National
1,6,1,127563.73,National
1,6,2,138423.84,National
1,6,3,149393.8,National
1,6,4,158977.31,National
1,6,5,162102.69,National
1,6,6,168452.35,National
1,6,7,163628.57,National
1,6,8,162914.08,National
1,6,9,159754.07,National
1,6,10,145363.25,National
1,6,11,125337.02,National
1,6,12,124482.24,National
2,0,1,121578.36,National
2,0,2,130884.47,National
2,0,3,141486.32,National
2,0,4,153714.87,National
2,0,5,155281.38,National
2,0,6,158421.78,National
2,0,7,156134.59,National
2,0,8,155397.66,National
2,0,9,152472.74,National
2,0,10,138065.16,National
2,0,11,118393.59,National
2,0,12,116771.68,National
2,1,1,125164.46,National
2,1,2,136047.68,National
2,1,3,145365.84,National
2,1,4,157320.84,National
2,1,5,158392.68,National
2,1,6,162526.81,National
2,1,7,160167.85,National
2,1,8,162515.25,National
2,1,9,157384.52,National
2,1,10,138970.94,National
2,1,11,123374.33,National
2,1,12,121203.54,National
2,2,1,125679.84,National
2,2,2,136372.33,National
2,2,3,148936.77,National
2,2,4,153111.44,National
2,2,5,158619.04,National
2,2,6,166731.35,National
2,2,7,159036.17,National
2,2,8,163774.58,National
2,2,9,157129.34,National
2,2,10,139222.75,National
2,2,11,126466.61,National
2,2,12,121939.72,National
2,3,1,124658.08,National
2,3,2,137093.12,National
2,3,3,149511.85,National
2,3,4,153983.29,National
2,3,5,155446.65,National
2,3,6,166194.89,National
2,3,7,159251.83,National
2,3,8,162802.27,National
2,3,9,158312.68,National
2,3,10,140060.94,National
2,3,11,125077.96,National
2,3,12,122754.82,National
2,4,1,125041.46,National
2,4,2,136145.88,National
2,4,3,148242.62,National
2,4,4,155717.27,National
2,4,5,155169.53,National
2,4,6,164698.89,National
2,4,7,159751.48,National
2,4,8,160049.1,National
2,4,9,159717.39,National
2,4,10,141855.16,National
2,4,11,123654.42,National
2,4,12,123227.96,National
2,5,1,125369.83,National
2,5,2,135773.96,National
2,5,3,147419.34,National
2,5,4,156725.86,National
2,5,5,156435.22,National
2,5,6,165733.93,National
2,5,7,160170.45,National
2,5,8,160823.16,National
2,5,9,159518.43,National
2,5,10,141963.69,National
2,5,11,123816.78,National
2,5,12,123249.44,National
2,6,1,125153.52,National
2,6,2,136261.84,National
2,6,3,146808.54,National
2,6,4,155773.01,National
2,6,5,158612.89,National
2,6,6,164632.04,National
2,6,7,159843.55,National
2,6,8,159765.19,National
2,6,9,156595.07,National
